collection,section,part,item,item_type,question,option_a,option_b,option_c,correct_answer,level,topic,source_page
goethe-a1-fit1-exam-training-2,listening,1,1,multiple-choice,Nora kann nicht,zum Schulfest.,zum Schwimmen.,zum Reiten.,b,A1,hobby,009
goethe-a1-fit1-exam-training-2,listening,1,2,multiple-choice,Sie hat Zeit:,am Dienstag.,nächsten Donnerstag.,Dienstag in zwei Wochen.,a,A1,time-dates,009
goethe-a1-fit1-exam-training-2,listening,1,3,multiple-choice,Manuel kommt,mit dem Fahrrad.,mit dem Auto.,mit dem Bus.,b,A1,travel,010
goethe-a1-fit1-exam-training-2,listening,1,4,multiple-choice,Manuel bringt zu Monas Party mit:,einen Film.,etwas zu essen.,CDs.,c,A1,hobby,010
goethe-a1-fit1-exam-training-2,listening,1,5,multiple-choice,Paul,spielt Klavier.,spielt Gitarre.,singt.,a,A1,hobby,011
goethe-a1-fit1-exam-training-2,listening,1,6,multiple-choice,Die Musikschule ist,neben der Schule.,am Bahnhof.,am Marktplatz.,c,A1,city-places,011
goethe-a1-fit1-exam-training-2,listening,2,7,true-false,Die Englischarbeit war ganz leicht.,Richtig,Falsch,,Falsch,A1,school,012
goethe-a1-fit1-exam-training-2,listening,2,8,true-false,Florian will David helfen.,Richtig,Falsch,,Richtig,A1,school,012
goethe-a1-fit1-exam-training-2,listening,2,9,true-false,Sie treffen sich am Wochenende.,Richtig,Falsch,,Richtig,A1,school,012
goethe-a1-fit1-exam-training-2,listening,2,10,true-false,Sina und Claudia wohnen in Berlin.,Richtig,Falsch,,Falsch,A1,personal-info,013
goethe-a1-fit1-exam-training-2,listening,2,11,true-false,Sina feiert heute ihren Geburtstag.,Richtig,Falsch,,Falsch,A1,personal-info,013
goethe-a1-fit1-exam-training-2,listening,2,12,true-false,Sina ist an Weihnachten zu Hause.,Richtig,Falsch,,Richtig,A1,personal-info,013
goethe-a1-fit1-exam-training-2,reading,1,1,multiple-choice,Der Junge in dem Film hat Probleme,mit seiner Mutter.,in der Schule.,mit seinen Freunden.,b,A1,school,017
goethe-a1-fit1-exam-training-2,reading,1,2,multiple-choice,Die Schauspielerin Diane Kruger spielt in dem Film,die Direktorin.,eine Lehrerin.,die Mutter.,c,A1,family,017
goethe-a1-fit1-exam-training-2,reading,1,3,multiple-choice,Du willst in dem Film mitspielen? Dann musst du,dich vorstellen.,eine E-Mail schreiben.,anrufen.,a,A1,communication,017
goethe-a1-fit1-exam-training-2,reading,1,4,multiple-choice,Der Schülerclub ist für,Mädchen.,alle Klassen.,die unteren Klassen.,b,A1,school,017
goethe-a1-fit1-exam-training-2,reading,1,5,multiple-choice,Im Schülerclub kann man,einen Computerkurs machen.,einen Film machen.,Hausaufgaben machen.,c,A1,school,017
goethe-a1-fit1-exam-training-2,reading,1,6,multiple-choice,Der Schülerclub ist im,Kiosk.,Musikraum.,Schulgarten.,b,A1,school,017
goethe-a1-fit1-exam-training-2,reading,2,7,true-false,Dagmars Schulweg ist sehr weit.,Richtig,Falsch,,Falsch,A1,daily-routine,019
goethe-a1-fit1-exam-training-2,reading,2,8,true-false,Dagmar steht immer früh auf.,Richtig,Falsch,,Falsch,A1,daily-routine,019
goethe-a1-fit1-exam-training-2,reading,2,9,true-false,Dagmar frühstückt in der Schule.,Richtig,Falsch,,Richtig,A1,daily-routine,019
goethe-a1-fit1-exam-training-2,reading,2,10,true-false,Martin geht in Frankreich in die Schule.,Richtig,Falsch,,Falsch,A1,school,019
goethe-a1-fit1-exam-training-2,reading,2,11,true-false,Martin lernt viel Französisch.,Richtig,Falsch,,Richtig,A1,school,019
goethe-a1-fit1-exam-training-2,reading,2,12,true-false,Martin spielt gern Tennis.,Richtig,Falsch,,Falsch,A1,hobby,019
goethe-a1-fit1-exam-training-2,writing,,1,open-ended,"Du hast diese E-Mail bekommen. Antworte auf die E-Mail und die Frage am Ende. Schreibe mindestens 30 Wörter. Schreibe bitte nicht mit Bleistift. Hallo, viele Grüße aus Sindelfingen! Ich bin hier in den Ferien bei meiner Oma, und ich finde es total langweilig. Ich liebe meine Oma, aber diese kleine Stadt hier ist furchtbar. Hier kann man so wenig machen, und natürlich kenne ich auch niemanden. Was machst du denn so in den Ferien? Und wie geht es deiner Familie? Bitte schreib mir bald! Jan",,,,(open-ended),A1,vacation,022
goethe-a1-fit1-exam-training-2,speaking,1,1,open-ended,Sich vorstellen. Name? Alter? Land? Wohnort? Schule? Sprachen? Hobby?,,,,(open-ended),A1,personal-info,025
goethe-a1-fit1-exam-training-2,speaking,2,1,open-ended,Thema: Reisen. Fragen stellen und auf Fragen antworten. Wortkarte: ins Ausland,,,,(open-ended),A1,travel,027
goethe-a1-fit1-exam-training-2,speaking,2,2,open-ended,Thema: Reisen. Fragen stellen und auf Fragen antworten. Wortkarte: mit Freundinnen/ Freunden,,,,(open-ended),A1,travel,027
goethe-a1-fit1-exam-training-2,speaking,2,3,open-ended,Thema: Reisen. Fragen stellen und auf Fragen antworten. Wortkarte: einen Sprachkurs machen,,,,(open-ended),A1,travel,027
goethe-a1-fit1-exam-training-2,speaking,2,4,open-ended,Thema: Reisen. Fragen stellen und auf Fragen antworten. Wortkarte: Feriencamp für Jugendliche,,,,(open-ended),A1,travel,027
goethe-a1-fit1-exam-training-2,speaking,2,5,open-ended,Thema: Reisen. Fragen stellen und auf Fragen antworten. Wortkarte: Zug / Auto Rad,,,,(open-ended),A1,travel,027
goethe-a1-fit1-exam-training-2,speaking,2,6,open-ended,Thema: Reisen. Fragen stellen und auf Fragen antworten. Wortkarte: Urlaub mit den Eltern,,,,(open-ended),A1,travel,027
goethe-a1-fit1-exam-training-2,speaking,2,7,open-ended,Thema: Gesundheit. Fragen stellen und auf Fragen antworten. Wortkarte: Schokolade,,,,(open-ended),A1,health,029
goethe-a1-fit1-exam-training-2,speaking,2,8,open-ended,Thema: Gesundheit. Fragen stellen und auf Fragen antworten. Wortkarte: schlafen,,,,(open-ended),A1,health,029
goethe-a1-fit1-exam-training-2,speaking,2,9,open-ended,Thema: Gesundheit. Fragen stellen und auf Fragen antworten. Wortkarte: trinken,,,,(open-ended),A1,health,029
goethe-a1-fit1-exam-training-2,speaking,2,10,open-ended,Thema: Gesundheit. Fragen stellen und auf Fragen antworten. Wortkarte: Sport machen,,,,(open-ended),A1,health,029
goethe-a1-fit1-exam-training-2,speaking,2,11,open-ended,Thema: Gesundheit. Fragen stellen und auf Fragen antworten. Wortkarte: krank sein,,,,(open-ended),A1,health,029
goethe-a1-fit1-exam-training-2,speaking,2,12,open-ended,Thema: Gesundheit. Fragen stellen und auf Fragen antworten. Wortkarte: Krankenhaus,,,,(open-ended),A1,health,029
goethe-a1-fit1-exam-training-2,speaking,3,1,open-ended,"Bitten, Aufforderungen oder Fragen formulieren und darauf antworten oder reagieren. Bildkarte: Eine Person putzt/wischt eine Tafel mit einem Schwamm. Symbol: !",,,,(open-ended),A1,mixed,030
goethe-a1-fit1-exam-training-2,speaking,3,2,open-ended,"Bitten, Aufforderungen oder Fragen formulieren und darauf antworten oder reagieren. Bildkarte: Eine Birne. Symbol: ?",,,,(open-ended),A1,mixed,030
goethe-a1-fit1-exam-training-2,speaking,3,3,open-ended,"Bitten, Aufforderungen oder Fragen formulieren und darauf antworten oder reagieren. Bildkarte: Ein Fahrrad. Symbol: !",,,,(open-ended),A1,mixed,030
goethe-a1-fit1-exam-training-2,speaking,3,4,open-ended,"Bitten, Aufforderungen oder Fragen formulieren und darauf antworten oder reagieren. Bildkarte: Ein Kino mit zwei Eintrittskarten (Nr. 1 und Nr. 2). Symbol: ?",,,,(open-ended),A1,mixed,030
goethe-a1-fit1-exam-training-2,speaking,3,5,open-ended,"Bitten, Aufforderungen oder Fragen formulieren und darauf antworten oder reagieren. Bildkarte: Ein Tischtennisschläger mit Ball. Symbol: ?",,,,(open-ended),A1,mixed,030
goethe-a1-fit1-exam-training-2,speaking,3,6,open-ended,"Bitten, Aufforderungen oder Fragen formulieren und darauf antworten oder reagieren. Bildkarte: Eine offene Hand. Symbol: !",,,,(open-ended),A1,mixed,030
goethe-a1-fit1-exam-training-2,speaking,3,1,open-ended,"Bitten, Aufforderungen oder Fragen formulieren und darauf antworten oder reagieren. Bildkarte: Schuhe (ein Paar Halbschuhe). Symbol: !",,,,(open-ended),A1,mixed,031
goethe-a1-fit1-exam-training-2,speaking,3,2,open-ended,"Bitten, Aufforderungen oder Fragen formulieren und darauf antworten oder reagieren. Bildkarte: Buch ""BIOLOGIE"". Symbol: ?",,,,(open-ended),A1,mixed,031
goethe-a1-fit1-exam-training-2,speaking,3,3,open-ended,"Bitten, Aufforderungen oder Fragen formulieren und darauf antworten oder reagieren. Bildkarte: Bus. Symbol: ?",,,,(open-ended),A1,mixed,031
goethe-a1-fit1-exam-training-2,speaking,3,4,open-ended,"Bitten, Aufforderungen oder Fragen formulieren und darauf antworten oder reagieren. Bildkarte: Schreibtischlampe. Symbol: !",,,,(open-ended),A1,mixed,031
goethe-a1-fit1-exam-training-2,speaking,3,5,open-ended,"Bitten, Aufforderungen oder Fragen formulieren und darauf antworten oder reagieren. Bildkarte: Taschenlampe. Symbol: !",,,,(open-ended),A1,mixed,031
