collection,unit,section,content_type,activity_type,topic,level,status,qa,word_count,summary,title
goethe-a1-sd1-exam-training-1,page-001,,[cover],cover,none,A1,verified,pass,18,Front cover of Goethe-Zertifikat A1 Start Deutsch 1 model set.,A1
goethe-a1-sd1-exam-training-1,page-002,,[cover],cover,none,A1,verified,pass,27,"Imprint page with edition, copyright, and design credits.","Goethe-Institut Logo, oben rechts"
goethe-a1-sd1-exam-training-1,page-003,,[toc],instructions,none,A1,verified,pass,93,Table of contents listing exam sections and page numbers.,Start Deutsch 1
goethe-a1-sd1-exam-training-1,page-004,,[],none,none,A1,verified,pass,22,Intentionally blank page with only logo and page number.,<!-- This page is intentionally blank. Only the Goethe-Institut logo (top-right and bottom
goethe-a1-sd1-exam-training-1,page-005,,[intro],instructions,none,A1,verified,pass,173,Foreword describing A1 exam scope and can-do skills.,Start Deutsch 1
goethe-a1-sd1-exam-training-1,page-006,,[],none,none,A1,verified,pass,2,Blank page with only the page number.,Seite 6
goethe-a1-sd1-exam-training-1,page-007,hoeren,[instructions],instructions,none,A1,verified,pass,58,Listening section intro and general test instructions.,Start Deutsch 1
goethe-a1-sd1-exam-training-1,page-008,hoeren,"[instructions, exercise]",multiple-choice,personal-info,A1,verified,pass,81,Listening Part 1 instructions with worked example on room number.,Start Deutsch 1
goethe-a1-sd1-exam-training-1,page-009,hoeren,[exercise],multiple-choice,mixed,A1,verified,pass,113,"Listening Part 1 items on price, time, and restaurant food.",Hören
goethe-a1-sd1-exam-training-1,page-010,hoeren,[exercise],multiple-choice,mixed,A1,verified,pass,126,"Listening Part 1 items on school class, floor access, travel.",Start Deutsch 1
goethe-a1-sd1-exam-training-1,page-011,hoeren,"[exercise, listening-sheet]",true-false,travel,A1,verified,pass,131,Listening Part 2 true/false announcements at station and store.,Hören
goethe-a1-sd1-exam-training-1,page-012,hoeren,"[exercise, listening-sheet]",multiple-choice,communication,A1,verified,pass,77,Listening Part 3 items on phone number and meeting point.,Start Deutsch 1
goethe-a1-sd1-exam-training-1,page-013,hoeren,"[exercise, listening-sheet]",multiple-choice,mixed,A1,verified,pass,58,Listening Part 3 items on day of visit and broken device.,Hören
goethe-a1-sd1-exam-training-1,page-014,,[],none,none,A1,verified,pass,2,Blank page with only the page number.,Seite 14
goethe-a1-sd1-exam-training-1,page-015,lesen,"[intro, instructions]",instructions,none,A1,verified,pass,76,Reading and Writing section intro and instructions.,Start Deutsch 1
goethe-a1-sd1-exam-training-1,page-016,lesen,"[instructions, reading-text, exercise]",true-false,travel,A1,verified,pass,144,Reading Part 1 true/false about an email on train arrival.,Start Deutsch 1
goethe-a1-sd1-exam-training-1,page-017,lesen,"[reading-text, exercise]",true-false,hobby,A1,verified,pass,116,Reading Part 1 true/false about a birthday party invitation.,Lesen
