collection	unit	source_type	status	orientation	content_type	level	section	qa	notes
goethe-a1-sd1-exam-training-1	page-001	pdf	verified	0	[cover]	A1	""	pass	
goethe-a1-sd1-exam-training-1	page-002	pdf	verified	0	[cover]	A1	""	pass	
goethe-a1-sd1-exam-training-1	page-003	pdf	verified	0	[toc]	A1	""	pass	
goethe-a1-sd1-exam-training-1	page-004	pdf	verified	0	[]	A1	""	pass	
goethe-a1-sd1-exam-training-1	page-005	pdf	verified	0	[intro]	A1	""	pass	
goethe-a1-sd1-exam-training-1	page-006	pdf	verified	0	[]	A1	""	pass	
goethe-a1-sd1-exam-training-1	page-007	pdf	verified	0	[instructions]	A1	hoeren	pass	
goethe-a1-sd1-exam-training-1	page-008	pdf	verified	0	[instructions, exercise]	A1	hoeren	pass	
goethe-a1-sd1-exam-training-1	page-009	pdf	verified	0	[exercise]	A1	hoeren	pass	
goethe-a1-sd1-exam-training-1	page-010	pdf	verified	0	[exercise]	A1	hoeren	pass	
goethe-a1-sd1-exam-training-1	page-011	pdf	verified	0	[exercise, listening-sheet]	A1	hoeren	pass	
goethe-a1-sd1-exam-training-1	page-012	pdf	verified	0	[exercise, listening-sheet]	A1	hoeren	pass	
goethe-a1-sd1-exam-training-1	page-013	pdf	verified	0	[exercise, listening-sheet]	A1	hoeren	pass	
goethe-a1-sd1-exam-training-1	page-014	pdf	verified	0	[]	A1	""	pass	
goethe-a1-sd1-exam-training-1	page-015	pdf	verified	0	[intro, instructions]	A1	lesen	pass	
goethe-a1-sd1-exam-training-1	page-016	pdf	verified	0	[instructions, reading-text, exercise]	A1	lesen	pass	
goethe-a1-sd1-exam-training-1	page-017	pdf	verified	0	[reading-text, exercise]	A1	lesen	pass	
goethe-a1-sd1-exam-training-1	page-018	pdf	verified	0	[exercise, reading-text]	A1	lesen	pass	
goethe-a1-sd1-exam-training-1	page-019	pdf	verified	0	[exercise, reading-text]	A1	lesen	pass	
goethe-a1-sd1-exam-training-1	page-020	pdf	verified	0	[exercise]	A1	lesen	pass	
goethe-a1-sd1-exam-training-1	page-021	pdf	verified	0	[instructions, reading-text, exercise]	A1	lesen	pass	
goethe-a1-sd1-exam-training-1	page-022	pdf	verified	0	[exercise, reading-text]	A1	lesen	pass	
goethe-a1-sd1-exam-training-1	page-023	pdf	verified	0	[exercise, reading-text]	A1	lesen	pass	
goethe-a1-sd1-exam-training-1	page-024	pdf	verified	0	[exercise, reading-text]	A1	lesen	pass	
goethe-a1-sd1-exam-training-1	page-025	pdf	verified	0	[writing-prompt]	A1	schreiben	pass	
goethe-a1-sd1-exam-training-1	page-026	pdf	verified	0	[]	A1	""	pass	
goethe-a1-sd1-exam-training-1	page-027	pdf	verified	0	[intro]	A1	sprechen	pass	
goethe-a1-sd1-exam-training-1	page-028	pdf	verified	0	[speaking-prompt]	A1	sprechen	pass	
goethe-a1-sd1-exam-training-1	page-029	pdf	verified	0	[speaking-prompt]	A1	sprechen	pass	
goethe-a1-sd1-exam-training-1	page-030	pdf	verified	0	[speaking-prompt]	A1	sprechen	pass	
goethe-a1-sd1-exam-training-1	page-031	pdf	verified	0	[speaking-prompt]	A1	sprechen	pass	
goethe-a1-sd1-exam-training-1	page-032	pdf	verified	0	[speaking-prompt]	A1	sprechen	pass	
goethe-a1-sd1-exam-training-1	page-033	pdf	verified	0	[listening-sheet]	A1	hoeren	pass	
goethe-a1-sd1-exam-training-1	page-034	pdf	verified	0	[listening-sheet]	A1	hoeren	pass	
goethe-a1-sd1-exam-training-1	page-035	pdf	verified	0	[exercise, listening-sheet]	A1	hoeren	pass	
goethe-a1-sd1-exam-training-1	page-036	pdf	verified	0	[instructions, listening-sheet]	A1	hoeren	pass	
goethe-a1-sd1-exam-training-1	page-037	pdf	verified	0	[answer-key]	A1	answer-key	pass	
goethe-a1-sd1-exam-training-1	page-038	pdf	verified	0	[answer-key]	A1	answer-key	pass	
goethe-a1-sd1-exam-training-1	page-039	pdf	verified	0	[instructions, speaking-prompt]	A1	sprechen	pass	
goethe-a1-sd1-exam-training-1	page-040	pdf	verified	0	[instructions, speaking-prompt]	A1	sprechen	pass	
goethe-a1-sd1-exam-training-1	page-041	pdf	verified	0	[speaking-prompt, instructions]	A1	sprechen	pass	
goethe-a1-sd1-exam-training-1	page-042	pdf	verified	0	[instructions, answer-key]	A1	sprechen	pass	
goethe-a1-sd1-exam-training-1	page-043	pdf	verified	0	[listening-sheet]	A1	""	pass	
goethe-a1-sd1-exam-training-1	page-044	pdf	verified	0	[writing-prompt, answer-key]	A1	schreiben	pass	
goethe-a1-sd1-exam-training-1	page-045	pdf	verified	0	[intro]	A1	""	pass	
goethe-a1-sd1-exam-training-1	page-046	pdf	verified	0	[]	A1	""	pass	
goethe-a1-sd1-exam-training-1	page-047	pdf	verified	0	[cover]	A1	""	pass	
goethe-a1-sd1-exam-training-1	listening	audio	transcribed		listening-audio	A1		pending	
